country,code
Algeria,012
AntiguaAndBarbuda,028
Argentina,032
Armenia,051
Australia,036
Austria,040
Barbados,052
Belarus,112
Belgium,056
Belize,084
Benin,204
Bermuda,060
BosniaAndHerzegovina,070
Brazil,076
Bulgaria,100
BurkinaFaso,854
Cameroon,120
Canada,124
CaymanIslands,126
Chile,152
China,156
Colombia,170
Congo,178
Cyprus,196
CzechRepublic,203
Denmark,208
Dominica,212
Ecuador,218
Estonia,233
Fiji,242
Finland,246
Gambia,270
Georgia,268
Germany,276
Ghana,288
Greenland,304
Guatemala,320
GuineeBisau,624
Guyana,328
HongKong,344
Hungary,348
Iceland,352
India,356
Indonesia,360
Iran,364
Iraq,368
Ireland,372
Israel,376
Jamaica,388
Japan,392
Kazakhstan,398
KingdomOfBahrain,048
KingdomOfSaudiArabia,682
Kyrgyzstan,417
Latvia,428
Libya,434
Luxembourg,442
MacaoChina,446
Madagascar,450
Malaysia,458
Maldives,462
Mali,466
Mauritania,478
Mexico,484
Mongolia,496
Montenegro,499
Morocco,504
Nepal,524
NewZealand,554
Niger,562
Nigeria,566
Norway,578
Pakistan,586
Paraguay,600
Peru,604
Poland,616
RepublicaBolivarianaDeVenezuela,862
RepublicaDominicana,214
RepublicofsrpskaBosniaandherzegovina,070
Romania,642
RussianFederationInAsia,643
RussianFederationInEurope,643
Rwanda,646
Samoa,882
Senegal,686
Serbia,688
Seychelles,690
Singapore,702
Slovakia,703
Slovenia,705
SouthAfrica,710
Spain,724
SriLanka,144
Sudan,729
Suriname,740
Sweden,752
Switzerland,756
SyrianArabRepublic,760
Tanzania,834
Thailand,764
TheFaroeIslands,234
TheNetherlands,528
TheRepublicOfKorea,410
Togo,768
TrinidadAndTobago,780
Turkiye,792
Turkmenistan,795
Uk,826
Ukraine,804
UnitedArabEmirates,784
UnitedStates,840
Uruguay,858
Uzbekistan,860
Zambia,894
